ts,type,side,price,size,trade_aggr_side
3,book,A,10008,61.599028,
8,book,B,9994,63.696402,
10,book,B,9999,86.997537,
12,book,B,9999,78.906638,
16,book,B,9996,76.729657,
17,trade,T,9999,14.433119,S
18,book,B,9996,83.146972,
19,trade,T,9999,17.440273,S
22,book,A,10001,66.665036,
25,book,A,10001,59.495174,
28,trade,T,10001,17.960850,B
31,trade,T,9999,10.266281,S
36,book,B,9999,82.319590,
41,book,B,9996,89.163886,
42,book,B,9999,80.218688,
44,book,B,9997,81.544478,
45,trade,T,10001,4.548663,B
47,book,A,10001,66.830180,
51,book,B,9992,0.000000,
54,book,B,9998,78.220784,
57,trade,T,9999,10.347490,S
60,book,A,10002,86.090414,
65,book,B,9998,81.813869,
69,trade,T,10001,17.692845,B
70,book,A,10004,77.285648,
71,book,B,9992,0.000000,
74,book,B,9992,2.736700,
79,book,B,9999,78.267454,
83,book,A,10005,62.350641,
85,book,A,10002,89.592986,
90,trade,T,9999,6.673329,S
92,book,A,10001,70.647969,
97,book,A,10001,0.000000,
102,trade,T,9999,1.240337,S
106,book,A,10003,73.322117,
108,book,B,9999,75.710114,
109,trade,T,10001,9.504768,B
111,book,B,9997,96.617835,
115,book,B,9995,66.082112,
119,book,B,9999,70.829257,
124,book,A,10006,65.661005,
127,book,B,9999,72.587722,
130,trade,T,10001,19.175264,B
132,trade,T,10001,0.511505,B
135,book,A,10005,72.007712,
140,book,B,9999,72.486240,
144,book,A,10001,42.093242,
149,book,B,9998,87.803749,
154,book,A,10001,56.917793,
159,book,B,9999,70.464393,
164,book,B,9999,65.302170,
166,book,B,9997,96.459262,
167,book,B,9995,73.066340,
168,book,B,9998,83.792757,
171,trade,T,10001,2.874350,B
173,book,B,9995,77.022276,
178,book,B,9994,66.574494,
183,trade,T,9999,3.388292,S
186,trade,T,10001,1.260451,B
188,book,B,9993,78.457012,
193,book,B,9997,94.297722,
194,trade,T,9999,12.051051,S
198,book,A,10004,70.380630,
202,trade,T,9999,3.398486,S
206,trade,T,9999,11.230681,S
207,trade,T,9999,13.025636,S
208,trade,T,10001,7.747272,B
212,book,B,9996,93.336135,
214,book,B,9997,85.852644,
216,book,A,10002,86.554024,
218,book,B,9994,92.847885,
223,book,B,9999,55.296328,
225,trade,T,10001,1.829390,B
228,trade,T,9999,14.364550,S
230,book,B,9999,50.204734,
231,trade,T,10001,15.169070,B
233,book,B,9999,60.844394,
236,trade,T,9999,12.560700,S
238,book,B,9994,94.291330,
242,trade,T,9999,12.576545,S
244,book,A,10001,55.826117,
248,book,B,9999,67.539760,
250,book,B,9997,87.537410,
255,book,A,10005,87.137098,
260,trade,T,10001,0.742616,B
263,trade,T,10001,1.722737,B
267,book,B,9997,91.723357,
271,book,A,10004,63.677108,
273,book,A,10001,49.042197,
274,trade,T,10001,3.490615,B
276,book,A,10001,0.000000,
280,book,B,9996,80.898132,
281,book,A,10001,58.507694,
283,book,A,10001,69.724197,
285,book,A,10006,61.318982,
288,book,B,9993,83.739521,
289,book,A,10001,74.127655,
290,trade,T,10001,1.679436,B
293,book,B,9998,87.489855,
294,book,B,9996,90.203227,
297,book,A,10001,78.818761,
302,trade,T,9999,15.692340,S
305,book,B,9994,100.349848,
308,trade,T,10001,5.070999,B
309,book,A,10006,77.265123,
313,trade,T,10001,12.052502,B
314,book,B,9996,79.394892,
315,book,B,9998,0.000000,
320,trade,T,9999,5.665135,S
321,book,B,9998,7.966515,
323,book,A,10004,48.298880,
327,book,B,9992,17.100792,
332,trade,T,9999,13.528923,S
337,book,B,9998,0.000000,
339,book,A,10001,75.044109,
340,book,A,10008,53.746721,
342,book,B,9999,63.812523,
345,book,A,10005,85.974695,
349,book,B,9997,98.896419,
350,book,A,10003,77.278970,
351,trade,T,10001,9.199750,B
355,trade,T,9999,9.502170,S
356,trade,T,9999,4.738043,S
359,trade,T,10001,9.194114,B
