t0,side,qty,horizon_ms,price_mode,price
186,sell,1.0,1000,fixed_price,9998
1503,sell,1.0,500,join_best,0
3093,buy,2.0,250,join_best,0
3222,sell,2.0,500,join_best,0
9489,buy,1.0,500,join_best,0
11202,buy,1.0,1000,join_best,0
14223,buy,2.0,2000,join_best,0
14712,buy,2.0,1000,fixed_price,10000
15324,buy,1.0,250,join_best,0
16830,buy,5.0,2000,join_best,0
18165,sell,1.0,2000,join_best,0
20055,sell,5.0,1000,join_best,0
21270,buy,2.0,500,fixed_price,9999
21666,sell,2.0,250,fixed_price,9998
21915,buy,5.0,1000,join_best,0
21972,buy,1.0,2000,fixed_price,10000
22017,buy,5.0,1000,join_best,0
22791,buy,1.0,1000,join_best,0
31134,sell,2.0,1000,fixed_price,10002
33189,sell,1.0,250,fixed_price,10000
41349,buy,2.0,500,join_best,0
42462,sell,1.0,2000,join_best,0
44688,buy,1.0,250,join_best,0
45243,buy,1.0,2000,join_best,0
46365,sell,1.0,1000,join_best,0
47898,buy,1.0,500,join_best,0
48567,sell,2.0,2000,join_best,0
48954,buy,1.0,2000,join_best,0
49836,buy,5.0,250,fixed_price,10002
50562,buy,1.0,250,join_best,0
52965,sell,1.0,2000,fixed_price,10002
55299,buy,5.0,250,join_best,0
57054,buy,2.0,1000,join_best,0
57507,buy,5.0,250,join_best,0
63339,buy,5.0,2000,join_best,0
63372,buy,2.0,500,join_best,0
65262,buy,1.0,2000,join_best,0
66111,sell,1.0,2000,fixed_price,10000
66675,buy,5.0,500,join_best,0
66786,buy,2.0,1000,join_best,0
67545,sell,5.0,500,join_best,0
68223,buy,2.0,1000,fixed_price,9998
70356,buy,5.0,2000,join_best,0
71574,sell,2.0,2000,join_best,0
72507,buy,5.0,500,join_best,0
74025,buy,2.0,250,join_best,0
76872,buy,5.0,2000,fixed_price,10001
79797,buy,1.0,250,join_best,0
80340,buy,5.0,1000,fixed_price,9999
80364,sell,1.0,1000,join_best,0
80517,sell,2.0,250,join_best,0
80826,sell,5.0,2000,join_best,0
81426,buy,2.0,1000,join_best,0
82404,buy,2.0,250,join_best,0
83448,sell,2.0,250,fixed_price,9999
86454,buy,5.0,1000,join_best,0
88749,buy,2.0,2000,fixed_price,10002
90720,buy,2.0,2000,fixed_price,9998
92088,sell,1.0,250,fixed_price,10000
94299,buy,1.0,1000,join_best,0
94638,sell,1.0,1000,fixed_price,10001
95649,buy,5.0,2000,fixed_price,10002
96222,buy,5.0,250,join_best,0
96609,sell,2.0,500,join_best,0
98691,sell,2.0,250,fixed_price,10002
99909,buy,1.0,2000,join_best,0
101718,sell,2.0,1000,join_best,0
101889,sell,2.0,500,join_best,0
102837,sell,1.0,500,join_best,0
103011,buy,1.0,2000,join_best,0
103083,sell,2.0,2000,join_best,0
107685,buy,1.0,250,join_best,0
107847,buy,2.0,500,join_best,0
107943,buy,1.0,2000,join_best,0
109512,buy,2.0,1000,join_best,0
111327,buy,2.0,1000,join_best,0
112446,sell,1.0,500,join_best,0
113340,buy,2.0,2000,join_best,0
114567,sell,2.0,250,join_best,0
114957,sell,5.0,2000,fixed_price,10001
115293,buy,1.0,2000,fixed_price,10002
116826,sell,2.0,500,fixed_price,9999
117468,buy,1.0,250,fixed_price,10001
117810,buy,5.0,250,join_best,0
118692,buy,1.0,250,join_best,0
118872,sell,1.0,1000,join_best,0
118962,sell,5.0,250,join_best,0
118986,sell,5.0,500,join_best,0
119409,buy,5.0,250,join_best,0
121464,sell,2.0,1000,fixed_price,9999
122616,sell,5.0,500,join_best,0
124932,buy,2.0,1000,join_best,0
126963,buy,2.0,2000,join_best,0
126984,buy,5.0,2000,fixed_price,9999
127641,sell,1.0,1000,join_best,0
128028,sell,5.0,2000,join_best,0
130836,sell,5.0,250,join_best,0
131370,buy,2.0,500,join_best,0
132159,buy,2.0,1000,join_best,0
133698,sell,5.0,500,fixed_price,10001
135540,sell,5.0,250,fixed_price,9999
138585,sell,1.0,500,join_best,0
140397,buy,2.0,250,join_best,0
142779,buy,2.0,2000,fixed_price,10000
143403,buy,1.0,500,join_best,0
144003,buy,5.0,2000,join_best,0
144189,sell,2.0,1000,join_best,0
149904,buy,1.0,250,join_best,0
150450,sell,2.0,250,join_best,0
152289,buy,2.0,1000,fixed_price,10000
153204,sell,1.0,250,join_best,0
153471,buy,2.0,2000,join_best,0
153942,sell,5.0,2000,join_best,0
154698,sell,1.0,2000,join_best,0
156753,buy,2.0,250,fixed_price,9998
156819,sell,1.0,250,fixed_price,10000
157224,sell,2.0,1000,fixed_price,10002
159324,buy,2.0,1000,fixed_price,10000
160728,buy,5.0,250,join_best,0
161388,buy,1.0,2000,join_best,0
163542,sell,2.0,1000,fixed_price,10001
164181,buy,2.0,500,join_best,0
165972,sell,5.0,500,join_best,0
167268,sell,2.0,2000,join_best,0
167337,buy,5.0,500,join_best,0
171606,buy,1.0,2000,join_best,0
172692,buy,2.0,1000,join_best,0
173379,sell,1.0,250,join_best,0
175212,buy,1.0,250,join_best,0
175410,sell,1.0,500,join_best,0
175935,sell,5.0,500,join_best,0
178317,buy,2.0,1000,join_best,0
178401,sell,2.0,1000,join_best,0
179745,buy,2.0,500,join_best,0
181473,buy,1.0,1000,fixed_price,10002
182421,buy,2.0,250,join_best,0
183504,buy,5.0,500,join_best,0
188265,buy,5.0,2000,fixed_price,9998
189168,buy,2.0,500,fixed_price,10000
189249,buy,2.0,500,join_best,0
194733,buy,5.0,500,fixed_price,10000
194766,buy,2.0,1000,fixed_price,9998
195426,buy,5.0,1000,join_best,0
198051,sell,2.0,500,join_best,0
198384,sell,1.0,500,fixed_price,10000
199053,sell,5.0,1000,join_best,0
203379,sell,1.0,500,join_best,0
203826,sell,5.0,2000,join_best,0
203973,buy,2.0,500,join_best,0
204153,buy,5.0,500,join_best,0
205350,sell,2.0,1000,join_best,0
206634,sell,1.0,1000,join_best,0
208215,sell,2.0,2000,join_best,0
208851,sell,5.0,500,join_best,0
212688,sell,1.0,250,join_best,0
213849,buy,2.0,250,fixed_price,10001
217779,sell,2.0,500,join_best,0
217989,buy,5.0,500,join_best,0
218502,sell,1.0,1000,join_best,0
218961,buy,1.0,1000,join_best,0
219465,buy,1.0,250,join_best,0
219744,buy,2.0,500,fixed_price,9998
221721,sell,2.0,250,join_best,0
226047,sell,1.0,500,join_best,0
230400,buy,5.0,2000,join_best,0
232356,buy,2.0,500,join_best,0
234429,buy,2.0,500,join_best,0
238116,buy,1.0,500,fixed_price,9999
245253,buy,5.0,250,join_best,0
248499,sell,1.0,2000,join_best,0
250500,sell,5.0,2000,join_best,0
250569,buy,2.0,2000,join_best,0
256074,sell,5.0,2000,join_best,0
256365,buy,5.0,2000,join_best,0
256371,sell,5.0,2000,fixed_price,10001
257202,sell,1.0,250,join_best,0
259260,sell,2.0,250,fixed_price,10002
260703,buy,1.0,500,join_best,0
261504,sell,5.0,250,join_best,0
265608,sell,5.0,500,join_best,0
265800,buy,5.0,250,join_best,0
266694,sell,2.0,500,join_best,0
267432,buy,1.0,1000,join_best,0
269460,sell,1.0,1000,fixed_price,10000
270540,sell,1.0,1000,join_best,0
270756,sell,1.0,1000,join_best,0
273201,buy,2.0,1000,join_best,0
274875,buy,2.0,500,join_best,0
275574,sell,5.0,1000,fixed_price,9999
278229,sell,1.0,250,join_best,0
279627,sell,2.0,250,join_best,0
279732,sell,5.0,1000,join_best,0
280455,sell,5.0,500,join_best,0
282150,buy,2.0,500,join_best,0
284496,buy,2.0,1000,join_best,0
285957,sell,5.0,250,join_best,0
286392,buy,1.0,1000,join_best,0
286764,sell,2.0,1000,fixed_price,9999
287799,sell,1.0,250,join_best,0
287979,buy,5.0,1000,join_best,0
288387,sell,5.0,500,join_best,0
290394,sell,5.0,500,join_best,0
295881,sell,1.0,500,join_best,0
299193,buy,5.0,500,join_best,0
302262,buy,5.0,500,fixed_price,10000
305559,sell,2.0,250,join_best,0
307458,sell,5.0,2000,join_best,0
308568,sell,1.0,500,fixed_price,9998
308580,buy,5.0,250,join_best,0
309951,buy,1.0,250,fixed_price,9998
311301,buy,5.0,500,join_best,0
312921,buy,5.0,2000,fixed_price,9999
313056,sell,1.0,1000,join_best,0
313203,sell,5.0,250,join_best,0
313770,sell,5.0,2000,join_best,0
314922,sell,1.0,500,fixed_price,10000
315114,buy,5.0,250,join_best,0
315666,sell,5.0,250,join_best,0
315867,sell,5.0,1000,join_best,0
317571,buy,1.0,250,join_best,0
319251,buy,5.0,500,fixed_price,10000
326604,buy,2.0,1000,join_best,0
327657,sell,5.0,2000,join_best,0
329475,buy,1.0,2000,fixed_price,9999
329526,sell,1.0,2000,join_best,0
330798,buy,5.0,500,join_best,0
331308,buy,1.0,250,join_best,0
332076,buy,2.0,500,join_best,0
336861,buy,1.0,500,join_best,0
338577,buy,5.0,250,join_best,0
339363,buy,5.0,1000,join_best,0
341163,buy,5.0,2000,join_best,0
341253,buy,1.0,250,join_best,0
346131,buy,5.0,1000,join_best,0
346392,buy,1.0,500,join_best,0
346524,sell,2.0,1000,join_best,0
347697,sell,2.0,250,join_best,0
348585,sell,2.0,2000,fixed_price,10002
351717,buy,2.0,250,join_best,0
351951,buy,2.0,2000,join_best,0
353256,buy,5.0,250,join_best,0
355608,sell,1.0,2000,join_best,0
355740,buy,2.0,250,join_best,0
359121,sell,1.0,2000,join_best,0
360315,buy,2.0,1000,fixed_price,10002
360714,sell,5.0,500,join_best,0
364245,buy,5.0,500,join_best,0
365970,buy,5.0,250,join_best,0
366471,buy,5.0,1000,join_best,0
367845,sell,2.0,250,join_best,0
369687,buy,2.0,500,join_best,0
371385,sell,5.0,500,join_best,0
372372,buy,2.0,500,join_best,0
372888,buy,2.0,1000,join_best,0
373050,sell,5.0,1000,join_best,0
375942,sell,5.0,1000,join_best,0
375945,buy,2.0,2000,join_best,0
376404,buy,5.0,500,join_best,0
377076,buy,5.0,500,fixed_price,10000
377799,sell,1.0,500,join_best,0
378687,buy,2.0,250,join_best,0
379446,buy,1.0,2000,join_best,0
379575,buy,2.0,1000,join_best,0
380505,buy,1.0,250,join_best,0
381393,sell,2.0,250,join_best,0
383199,sell,5.0,500,join_best,0
383835,sell,2.0,250,join_best,0
387540,sell,1.0,500,fixed_price,10001
388257,sell,1.0,500,join_best,0
388980,buy,2.0,2000,join_best,0
390471,buy,2.0,500,fixed_price,9999
394131,sell,2.0,2000,join_best,0
394515,sell,5.0,500,fixed_price,10000
395340,buy,2.0,2000,fixed_price,9998
397584,buy,2.0,500,join_best,0
399285,buy,5.0,1000,join_best,0
399315,sell,5.0,500,join_best,0
399633,buy,5.0,1000,join_best,0
401511,sell,5.0,2000,join_best,0
402783,buy,2.0,250,join_best,0
402861,sell,5.0,250,join_best,0
404844,sell,2.0,250,join_best,0
405399,sell,2.0,1000,join_best,0
405489,buy,1.0,1000,join_best,0
406062,buy,2.0,2000,join_best,0
406398,buy,1.0,500,join_best,0
406929,buy,1.0,1000,join_best,0
407088,sell,2.0,1000,fixed_price,9999
407649,sell,2.0,500,join_best,0
407685,sell,5.0,1000,fixed_price,9999
411471,sell,1.0,1000,join_best,0
411705,sell,2.0,2000,join_best,0
414123,buy,5.0,1000,join_best,0
415323,sell,2.0,250,join_best,0
415440,sell,1.0,1000,join_best,0
417381,buy,5.0,250,join_best,0
418245,buy,5.0,1000,join_best,0
418848,buy,5.0,500,fixed_price,9999
419394,sell,2.0,500,join_best,0
420420,sell,5.0,500,join_best,0
422001,buy,5.0,1000,join_best,0
422016,buy,5.0,250,join_best,0
425907,sell,5.0,250,join_best,0
427170,sell,2.0,500,fixed_price,10001
428097,sell,5.0,250,join_best,0
431190,buy,5.0,2000,join_best,0
431484,buy,5.0,250,join_best,0
432099,sell,2.0,2000,join_best,0
432711,sell,2.0,2000,join_best,0
435723,buy,1.0,1000,join_best,0
436818,buy,1.0,250,join_best,0
437631,sell,1.0,2000,join_best,0
439830,buy,1.0,500,join_best,0
440022,buy,2.0,250,fixed_price,10000
440637,sell,2.0,500,join_best,0
441762,sell,2.0,1000,join_best,0
445389,sell,2.0,1000,fixed_price,10001
