t0,side,qty,horizon_ms,price_mode,price
1770069601219000000,sell,2.000000,1000,join_best,0
1770069608911000000,sell,1.000000,2000,join_best,0
1770069616383000000,buy,1.000000,1000,join_best,0
1770069616488000000,buy,5.000000,1000,join_best,0
1770069626033000000,sell,2.000000,500,join_best,0
1770069626241000000,buy,2.000000,250,join_best,0
1770069628173000000,sell,1.000000,500,join_best,0
1770069628173000000,buy,2.000000,250,join_best,0
1770069629165000000,sell,2.000000,250,join_best,0
1770069630622000000,sell,1.000000,500,join_best,0
1770069633196000000,sell,5.000000,2000,join_best,0
1770069633409000000,sell,2.000000,500,join_best,0
1770069633617000000,sell,1.000000,250,fixed_price,2347
1770069634515000000,sell,5.000000,500,fixed_price,2345
1770069636249000000,sell,1.000000,500,join_best,0
1770069639884000000,buy,5.000000,1000,fixed_price,2345
1770069641942000000,sell,5.000000,250,join_best,0
1770069644323000000,sell,5.000000,500,join_best,0
1770069649151000000,buy,1.000000,250,join_best,0
1770069654478000000,buy,5.000000,2000,join_best,0
1770069657063000000,buy,2.000000,500,join_best,0
1770069659290000000,buy,5.000000,2000,join_best,0
1770069659343000000,buy,2.000000,1000,join_best,0
1770069659627000000,sell,5.000000,500,join_best,0
1770069661761000000,buy,2.000000,1000,join_best,0
1770069689897000000,buy,2.000000,250,join_best,0
1770069691315000000,sell,1.000000,500,join_best,0
1770069703156000000,buy,5.000000,1000,join_best,0
1770069703466000000,buy,1.000000,500,join_best,0
1770069709514000000,buy,2.000000,250,join_best,0
1770069716203000000,buy,5.000000,2000,fixed_price,2347
1770069723990000000,buy,1.000000,250,join_best,0
1770069727941000000,buy,5.000000,1000,fixed_price,2345
1770069733333000000,sell,5.000000,1000,fixed_price,2345
1770069735317000000,buy,2.000000,2000,join_best,0
1770069741772000000,buy,2.000000,2000,join_best,0
1770069747107000000,sell,2.000000,1000,join_best,0
1770069748650000000,buy,2.000000,250,join_best,0
1770069752410000000,buy,2.000000,250,fixed_price,2344
1770069754679000000,sell,5.000000,1000,join_best,0
1770069757522000000,buy,2.000000,250,join_best,0
1770069758534000000,buy,2.000000,250,join_best,0
1770069761231000000,buy,5.000000,1000,join_best,0
1770069761918000000,buy,2.000000,2000,join_best,0
1770069764042000000,buy,2.000000,2000,fixed_price,2346
1770069764673000000,sell,5.000000,500,join_best,0
1770069765463000000,buy,5.000000,2000,join_best,0
1770069766717000000,sell,5.000000,1000,join_best,0
1770069767138000000,sell,5.000000,500,join_best,0
1770069770071000000,buy,2.000000,1000,join_best,0
1770069771289000000,sell,5.000000,1000,join_best,0
1770069772977000000,buy,2.000000,2000,join_best,0
1770069777542000000,sell,1.000000,500,join_best,0
1770069780685000000,sell,5.000000,500,join_best,0
1770069783569000000,buy,2.000000,2000,join_best,0
1770069786634000000,buy,1.000000,500,join_best,0
1770069792664000000,buy,1.000000,1000,join_best,0
1770069795651000000,sell,1.000000,2000,join_best,0
1770069796760000000,sell,1.000000,2000,join_best,0
1770069798573000000,sell,2.000000,1000,join_best,0
1770069805649000000,buy,5.000000,500,join_best,0
1770069805752000000,sell,2.000000,2000,join_best,0
1770069806326000000,buy,2.000000,250,join_best,0
1770069809077000000,buy,2.000000,2000,join_best,0
1770069809672000000,buy,5.000000,2000,fixed_price,2348
1770069816276000000,sell,1.000000,500,join_best,0
1770069827184000000,sell,1.000000,2000,join_best,0
1770069827184000000,sell,1.000000,500,join_best,0
1770069829382000000,sell,5.000000,1000,fixed_price,2236
1770069832298000000,sell,2.000000,250,join_best,0
1770069835627000000,buy,5.000000,500,join_best,0
1770069837490000000,buy,5.000000,250,join_best,0
1770069838008000000,buy,2.000000,1000,fixed_price,2347
1770069838535000000,buy,1.000000,500,join_best,0
1770069839112000000,buy,5.000000,1000,join_best,0
1770069841195000000,buy,5.000000,2000,join_best,0
1770069841229000000,buy,2.000000,1000,join_best,0
1770069841592000000,buy,2.000000,2000,join_best,0
1770069844151000000,buy,1.000000,1000,join_best,0
1770069846896000000,sell,1.000000,2000,fixed_price,2347
1770069849111000000,sell,1.000000,500,join_best,0
1770069849581000000,buy,2.000000,250,fixed_price,2346
1770069852363000000,sell,1.000000,2000,join_best,0
1770069854812000000,sell,5.000000,500,fixed_price,2244
1770069856116000000,buy,5.000000,500,join_best,0
1770069856225000000,sell,1.000000,2000,join_best,0
1770069872153000000,sell,2.000000,250,fixed_price,2343
1770069872516000000,buy,1.000000,2000,join_best,0
1770069880946000000,sell,2.000000,1000,fixed_price,2346
1770069882511000000,buy,1.000000,250,join_best,0
1770069882615000000,buy,1.000000,500,join_best,0
1770069883474000000,sell,2.000000,2000,join_best,0
1770069885537000000,sell,1.000000,1000,join_best,0
1770069886112000000,buy,2.000000,1000,join_best,0
1770069888550000000,buy,5.000000,2000,join_best,0
1770069895800000000,sell,2.000000,250,join_best,0
1770069901592000000,buy,1.000000,1000,join_best,0
1770069901643000000,buy,5.000000,1000,join_best,0
1770069910948000000,buy,5.000000,250,join_best,0
1770069912542000000,sell,2.000000,1000,join_best,0
1770069922493000000,sell,5.000000,250,join_best,0
1770069933389000000,buy,2.000000,2000,fixed_price,2350
1770069937177000000,sell,2.000000,2000,join_best,0
1770069938806000000,buy,1.000000,1000,fixed_price,2340
1770069939175000000,sell,2.000000,1000,join_best,0
1770069946931000000,sell,5.000000,250,join_best,0
1770069947087000000,buy,1.000000,500,join_best,0
1770069949165000000,sell,2.000000,1000,join_best,0
1770069949331000000,buy,1.000000,250,join_best,0
1770069949539000000,buy,1.000000,2000,join_best,0
1770069950166000000,sell,2.000000,500,join_best,0
1770069952054000000,buy,5.000000,500,join_best,0
